id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
4062,Data Structures,medium,What is the time complexity of searching in a HashMap in the average case?,O(1),O(log n),O(n),O(n log n),a,"Hash maps provide average O(1) lookup time, though worst case may degrade to O(n) due to collisions."
4063,SQL,medium,What is a `JOIN` in SQL?,A method to insert data into multiple tables,A clause to combine rows from two or more tables based on a related column,A way to group records together,A type of data constraint,b,A `JOIN` clause is used in a SELECT statement to combine rows from two or more tables based on a related column between them.
4064,Cloud Computing,easy,Which is an example of IaaS?,Google Docs,AWS EC2,Dropbox,Gmail,b,AWS EC2 is Infrastructure as a Service.
4065,Algorithms,easy,Which search algorithm works only if data is sorted?,Linear Search,Binary Search,BFS,DFS,b,Binary search requires sorted data.
4066,Machine Learning,hard,Which algorithm improves ensemble learning by sequential corrections?,Bagging,Boosting,Clustering,Dropout,b,Boosting trains sequentially where each model corrects predecessor errors.
4067,Machine Learning,easy,Which of the following is an example of supervised learning?,Clustering,K-means,Linear Regression,Autoencoders,c,Linear Regression is supervised learning because it uses labeled input and output data.
4068,SQL,easy,What is a `NULL` value in SQL?,A value of 0,A blank space,A value that represents a missing or unknown data,An error,c,"A `NULL` value in SQL represents a missing or unknown value. It is not equivalent to 0, an empty string, or a blank space."
4069,Software Testing,medium,What is white-box testing?,Testing internals,Testing without internals,System testing,Acceptance testing,a,White-box relies on code knowledge.
4070,Database Management,easy,Which database model organizes data into tables with rows and columns?,Network Model,Hierarchical Model,Relational Model,Document Model,c,"The Relational Model is the most common database model, where data is organized into tables (relations) of rows and columns. SQL is the standard language for managing relational databases."
4071,Cybersecurity,hard,"What is the primary function of a ""Security Information and Event Management"" (SIEM) system?",To manage user access permissions,To collect, aggregate, and analyze security data from various sources to detect threats,to encrypt a company's data,To manage network firewalls
4072,Deep Learning,easy,Which of these is a deep learning framework?,Pandas,TensorFlow,NumPy,Matplotlib,b,TensorFlow is a deep learning framework for neural networks.
4073,Machine Learning,easy,Which of the following is an unsupervised learning algorithm?,Decision Trees,Linear Regression,K-Means,SVM,c,K-Means clustering is an unsupervised algorithm that groups data without labels.
4074,Data Structures,medium,What is the advantage of linked lists over arrays?,Random access,Faster sorting,Dynamic size allocation,Better caching,c,Linked lists allow dynamic allocation of memory unlike arrays.
4075,Operating Systems,medium,What is the main purpose of paging in memory management?,To increase CPU speed,To divide memory into equal fixed-size blocks,To reduce disk access,To optimize CPU cache,b,"Paging divides memory into equal fixed-size pages, simplifying memory allocation while avoiding external fragmentation."
4076,Algorithms,medium,What is the purpose of a hash function?,To find the sum of elements,To map data of arbitrary size to a fixed-size value,To sort a list of elements,To find the largest element in an array,b,A hash function is a function that takes an input (or 'key') of arbitrary size and returns a fixed-size value called a 'hash' or 'hash code'.
4077,Software Engineering,medium,What is a 'code smell'?,A bug that is difficult to fix,A symptom in the source code that suggests a deeper problem,A piece of code that is not optimized,A programming language that is no longer used,b,"A 'code smell' is a superficial symptom that suggests there may be a deeper problem within the code's design. It's not a bug, but it indicates the need for refactoring."
4078,Cybersecurity,hard,What is privilege escalation?,Upgrading OS,Attacker gaining higher rights,Encrypting files,Firewall block,b,Privilege escalation gives attacker elevated access.
4079,Database Management,hard,What is the 'ACID' property of a database transaction?,Atomicity, Consistency, Integrity, Durability,atomicity, Consistency
4080,Machine Learning,easy,Which algorithm is used for classification tasks?,Linear Regression,Logistic Regression,K-means,PCA,b,Logistic Regression is a supervised ML algorithm for classification.
4081,Logic Design,easy,Which flip-flop stores 1 bit?,JK,D,SR,All of the above,d,All flip-flops can store one bit.
4082,Data Science,hard,What is curse of dimensionality?,Too few samples,Too clean data,Performance degradation with too many features,Model bias,c,Increasing dimensions makes models less effective due to sparse data.
4083,Algorithms,hard,What is the time complexity of Strassenâ€™s matrix multiplication?,O(n^2),O(n^2.81),O(n^3),O(log n),b,"Strassenâ€™s algorithm multiplies in O(n^2.81), faster than classical O(n^3)."
4084,Cybersecurity,medium,What is a SQL Injection attack?,An attack that targets a database with a series of SQL queries,An attack that uses malware to gain unauthorized access to a network,An attack that uses malicious SQL statements to control a database server,An attack that floods a database with too much traffic,c,"A SQL injection attack is a technique that uses malicious SQL statements inserted into a data input field to trick the database into executing unauthorized commands, which can lead to data theft or destruction."
4085,Machine Learning,medium,What is the purpose of a validation set?,To train the model on a different set of data,To test the model's final performance before deployment,To tune the model's hyperparameters and prevent overfitting,To pre-process the data,c,"A validation set is a portion of the training data used to tune hyperparameters and evaluate the model's performance during training, helping to prevent overfitting to the training set."
4086,SQL,easy,What does the SQL keyword `AS` do?,It creates an alias for a table or column,It is used for sorting in ascending order,It checks for a specific condition,It defines a new column in a table,a,"The `AS` keyword is used to assign a temporary name, or alias, to a table or a column in a query, making the results easier to read."
